file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,speaker2,-41.662044270833334,-52.7342775785006,4.093719484020681,11.511384912777462
F2BJRLP1,0.0,25.309125,speaker1,-45.999009161398654,-46.43043416000928,3.8109110956813756,6.909068687009766
F2BJRLP2,0.0,28.6474375,speaker1,-45.154022142233856,-45.85428233466413,3.6158646346607206,7.807588320212007
F2BJRLP3,0.0,30.7068125,speaker1,-46.38612219146858,-47.31376442896457,3.58770240212695,10.235460833631313
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,speaker2,-41.15252818553269,-51.62558805025541,2.978079142990658,11.904880022879937
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,speaker2,-43.61582333279639,-51.84718990325928,2.6474966159972686,12.313838416434937
