file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,speaker2,-41.662044270833334,-52.7342775785006,4.01470199163079,11.511384912777462
F2BJRLP1,0.0,25.309125,speaker1,-46.00959045337811,-46.050677054268974,3.8256952444031556,8.170605282091072
F2BJRLP2,0.0,28.6474375,speaker1,-45.54960460296684,-45.7968556439435,3.6034438656795387,7.7735882608114775
F2BJRLP3,0.0,30.7068125,speaker1,-46.38612219146858,-47.31376442896457,3.59922016110649,10.235460833631313
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,speaker2,-41.15252818553269,-51.62558805025541,2.961341127044774,11.904880022879937
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,speaker2,-43.61582333279639,-51.84718990325928,2.6039011440213744,12.313838416434937
